peak,C,O,H,N,S,P,MolForm
140.9763643,4,2,2,2,1,0,NA
157.061722,6,3,10,2,0,0,NA
157.1232603,9,2,18,0,0,0,NA
158.0822751,7,3,13,1,0,0,NA
160.0615197,6,4,11,1,0,0,NA
161.0242879,9,3,6,0,0,0,NA
164.0351658,8,3,7,1,0,0,NA
164.0715435,9,2,11,1,0,0,NA
165.0191746,8,4,6,0,0,0,NA
167.0713965,9,3,12,0,0,0,NA
169.0868582,9,3,14,0,0,0,NA
169.123413,10,2,18,0,0,0,NA
171.0297289,7,5,8,0,0,0,NA
171.0564278,10,1,8,2,0,0,NA
171.1389145,10,2,20,0,0,0,NA
173.0454189,7,5,10,0,0,0,NA
173.0817954,8,4,14,0,0,0,NA
173.0931752,7,3,14,2,0,0,NA
173.118147,9,3,18,0,0,0,NA
175.0246831,6,6,8,0,0,0,NA
175.0612346,7,5,12,0,0,0,NA
175.0975864,8,4,16,0,0,0,NA
177.0404925,6,6,10,0,0,0,NA
177.0557368,10,3,10,0,0,0,NA
177.0921518,11,2,14,0,0,0,NA
178.9630391,8,1,4,0,2,0,NA
179.0348197,9,4,8,0,0,0,NA
179.0559748,6,6,12,0,0,0,NA
180.0300658,8,4,7,1,0,0,NA
180.0666734,9,3,11,1,0,0,NA
181.0142223,8,5,6,0,0,0,NA
181.0506502,9,4,10,0,0,0,NA
181.0870537,10,3,14,0,0,0,NA
182.0093747,7,5,5,1,0,0,NA
183.0662922,9,4,12,0,0,0,NA
183.1026997,10,3,16,0,0,0,NA
183.1391178,11,2,20,0,0,0,NA
184.0616935,8,4,11,1,0,0,NA
185.0455605,8,5,10,0,0,0,NA
185.0819115,9,4,14,0,0,0,NA
185.1183318,10,3,18,0,0,0,NA
185.1546872,11,2,22,0,0,0,NA
186.1134765,9,3,17,1,0,0,NA
187.0612154,8,5,12,0,0,0,NA
187.0975817,9,4,16,0,0,0,NA
187.1339671,10,3,20,0,0,0,NA
188.0351757,10,3,7,1,0,0,NA
189.0768751,8,5,14,0,0,0,NA
189.1132457,9,4,18,0,0,0,NA
191.0197613,6,7,8,0,0,0,NA
191.034992,10,4,8,0,0,0,NA
191.0561562,7,6,12,0,0,0,NA
191.0712191,11,3,12,0,0,0,NA
193.0142766,9,5,6,0,0,0,NA
193.0354053,6,7,10,0,0,0,NA
193.0507199,10,4,10,0,0,0,NA
193.0871182,11,3,14,0,0,0,NA
194.0425938,5,1,13,3,2,0,NA
195.0299409,9,5,8,0,0,0,NA
195.0510406,6,7,12,0,0,0,NA
195.0663672,10,4,12,0,0,0,NA
195.1027194,11,3,16,0,0,0,NA
196.0252627,8,5,7,1,0,0,NA
196.0616313,9,4,11,1,0,0,NA
196.9193828,7,1,2,0,3,0,NA
197.0092353,8,6,6,0,0,0,NA
197.0455751,9,5,10,0,0,0,NA
197.081987,10,4,14,0,0,0,NA
197.1184027,11,3,18,0,0,0,NA
197.1547364,12,2,22,0,0,0,NA
197.9580369,4,3,8,0,2,1,NA
198.0044249,7,6,5,1,0,0,NA
198.0409217,8,5,9,1,0,0,NA
199.061219,9,5,12,0,0,0,NA
199.0976527,10,4,16,0,0,0,NA
199.1340297,11,3,20,0,0,0,NA
199.1702774,12,2,24,0,0,0,NA
200.056533,8,5,11,1,0,0,NA
200.129337,10,3,19,1,0,0,NA
201.076955,9,5,14,0,0,0,NA
201.0881617,8,4,14,2,0,0,NA
201.1132806,10,4,18,0,0,0,NA
201.1496973,11,3,22,0,0,0,NA
201.9452013,5,6,1,1,1,0,NA
203.0348325,11,4,8,0,0,0,NA
203.0562452,8,6,12,0,0,0,NA
203.0714596,12,3,12,0,0,0,NA
203.0925793,9,5,16,0,0,0,NA
203.1289536,10,4,20,0,0,0,NA
204.9632668,6,4,6,0,2,0,NA
205.0507108,11,4,10,0,0,0,NA
205.0718645,8,6,14,0,0,0,NA
205.0871177,12,3,14,0,0,0,NA
205.1081773,9,5,18,0,0,0,NA
207.0299549,10,5,8,0,0,0,NA
207.0510706,7,7,12,0,0,0,NA
