"","peak","C","O","H","N","S","P","MolForm"
"1",140.035198,6,3,7,1,0,0,NA
"2",152.0828756,7,1,11,3,0,0,NA
"3",156.1028741,8,2,15,1,0,0,NA
"4",157.1232603,9,2,18,0,0,0,NA
"5",159.0299884,6,5,8,0,0,0,NA
"6",163.9482163,3,3,3,1,2,0,NA
"7",164.9473735,7,1,2,0,2,0,NA
"8",165.0191746,8,4,6,0,0,0,NA
"9",167.0713965,9,3,12,0,0,0,NA
"10",167.1077939,10,2,16,0,0,0,NA
"11",168.9963844,7,3,6,0,1,0,NA
"12",169.0868582,9,3,14,0,0,0,NA
"13",170.9757316,6,4,4,0,1,0,NA
"14",170.9868644,5,3,4,2,1,0,NA
"15",171.0297289,7,5,8,0,0,0,NA
"16",171.1026736,9,3,16,0,0,0,NA
"17",171.1389145,10,2,20,0,0,0,NA
"18",173.0457176,7,5,10,0,0,0,NA
"19",173.0817954,8,4,14,0,0,0,NA
"20",173.118147,9,3,18,0,0,0,NA
"21",175.0612346,7,5,12,0,0,0,NA
"22",175.0975864,8,4,16,0,0,0,NA
"23",177.0921518,11,2,14,0,0,0,NA
"24",178.9630391,8,1,4,0,2,0,NA
"25",179.0348197,9,4,8,0,0,0,NA
"26",179.0559748,6,6,12,0,0,0,NA
"27",179.0714971,10,3,12,0,0,0,NA
"28",181.0142223,8,5,6,0,0,0,NA
"29",181.0506502,9,4,10,0,0,0,NA
"30",181.0870537,10,3,14,0,0,0,NA
"31",183.0662922,9,4,12,0,0,0,NA
"32",183.1026997,10,3,16,0,0,0,NA
"33",185.0455605,8,5,10,0,0,0,NA
"34",185.0819115,9,4,14,0,0,0,NA
"35",185.1183318,10,3,18,0,0,0,NA
"36",185.1546872,11,2,22,0,0,0,NA
"37",186.0770141,8,4,13,1,0,0,NA
"38",186.1137275,9,3,17,1,0,0,NA
"39",187.0612154,8,5,12,0,0,0,NA
"40",187.0975817,9,4,16,0,0,0,NA
"41",187.1339671,10,3,20,0,0,0,NA
"42",189.0405202,7,6,10,0,0,0,NA
"43",189.0768751,8,5,14,0,0,0,NA
"44",189.1132457,9,4,18,0,0,0,NA
"45",191.034992,10,4,8,0,0,0,NA
"46",193.0354053,6,7,10,0,0,0,NA
"47",193.0507199,10,4,10,0,0,0,NA
"48",194.9969699,5,6,8,0,1,0,NA
"49",195.0299409,9,5,8,0,0,0,NA
"50",195.0510406,6,7,12,0,0,0,NA
"51",195.0663672,10,4,12,0,0,0,NA
"52",196.0140492,5,6,10,0,0,1,NA
"53",196.9193828,7,1,2,0,3,0,NA
"54",197.0092353,8,6,6,0,0,0,NA
"55",197.0455751,9,5,10,0,0,0,NA
"56",197.081987,10,4,14,0,0,0,NA
"57",197.1184027,11,3,18,0,0,0,NA
"58",199.0248468,8,6,8,0,0,0,NA
"59",199.061219,9,5,12,0,0,0,NA
"60",199.0976527,10,4,16,0,0,0,NA
"61",199.1340297,11,3,20,0,0,0,NA
"62",199.1705066,12,2,24,0,0,0,NA
"63",200.9864083,7,5,6,0,1,0,NA
"64",201.076955,9,5,14,0,0,0,NA
"65",201.0881617,8,4,14,2,0,0,NA
"66",201.1132806,10,4,18,0,0,0,NA
"67",201.1496973,11,3,22,0,0,0,NA
"68",201.9452013,5,6,1,1,1,0,NA
"69",203.0925793,9,5,16,0,0,0,NA
"70",203.1289536,10,4,20,0,0,0,NA
"71",205.0143295,10,5,6,0,0,0,NA
"72",205.0718645,8,6,14,0,0,0,NA
"73",205.1081773,9,5,18,0,0,0,NA
"74",207.0299549,10,5,8,0,0,0,NA
"75",207.0510706,7,7,12,0,0,0,NA
"76",207.0664722,11,4,12,0,0,0,NA
"77",207.0697123,8,4,16,0,1,0,NA
"78",208.9738228,9,2,6,0,2,0,NA
"79",209.009328,9,6,6,0,0,0,NA
"80",209.0125631,6,6,10,0,1,0,NA
"81",209.0457024,10,5,10,0,0,0,NA
"82",209.0489814,7,5,14,0,1,0,NA
"83",209.0819841,11,4,14,0,0,0,NA
"84",209.1183894,12,3,18,0,0,0,NA
"85",209.154784,13,2,22,0,0,0,NA
"86",210.9894489,9,2,8,0,2,0,NA
"87",211.0249154,9,6,8,0,0,0,NA
"88",211.0612634,10,5,12,0,0,0,NA
"89",211.097662,11,4,16,0,0,0,NA
"90",211.1340602,12,3,20,0,0,0,NA
"91",213.0406527,9,6,10,0,0,0,NA
"92",213.0769276,10,5,14,0,0,0,NA
"93",213.1133226,11,4,18,0,0,0,NA
"94",213.1496566,12,3,22,0,0,0,NA
"95",213.1860444,13,2,26,0,0,0,NA
"96",214.9299724,7,2,4,0,3,0,NA
"97",215.0562984,9,6,12,0,0,0,NA
"98",215.0674469,8,5,12,2,0,0,NA
"99",215.0925992,10,5,16,0,0,0,NA
"100",215.1290003,11,4,20,0,0,0,NA
"101",215.1653134,12,3,24,0,0,0,NA
"102",215.9608364,6,6,3,1,1,0,NA
"103",216.0514203,8,6,11,1,0,0,NA
"104",216.9094668,6,3,2,0,3,0,NA
