"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","C_num","CUE"
-66.1157608748784,-528.926086999027,-276.683838677523,-5.70643020630762,465.116279069768,1.66041446822236,-1,-8.75,4.25,0,0,0,4.25,0,3.75,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,1,-1.80041446822236,-14.8286265969456,7.17676148994503,-0.2,0,0,7.37676148994503,0,6.22655425583385,1,8,0.0694284578391657
-66.6236842156717,-333.118421078358,-181.773072085456,-9.38440961139404,465.116279069767,2.5071473141199,-1,-2.25,2.75,0,0,0,2.75,0,2.25,0,-0.233333333333333,0.4,0.166666666666666,-0.2,0,0,0.366666666666666,0,0,1,-2.74048064745323,-5.24108145676978,7.06132178049639,-0.2,0,0,7.26132178049639,0,5.64108145676978,1,5,0.0729798986852408
-61.0365274669452,-244.146109867781,-67.5765360427282,16.1351731978636,536.245428196747,8.17414791793034,-1,-5.125,1.375,2,1,0,1.375,0,2.625,0,-0.25,-0.35625,-0.13125,0.3,0.25,0,0.0687499999999992,0,0.13125,1,-8.42414791793034,-42.248758079393,11.1082033871542,16.6482958358607,8.42414791793034,0,11.3082033871542,0,21.5883882845671,1,4,0.0296765919159478
-62.2593058799661,-560.333752919695,-190.378455381489,11.8761454994912,517.470233621607,2.78049518817857,-1,-7.5,3.5,0,0,0,3.5,0,5.5,0,-0.111111111111111,0.0916666666666669,-0.0861111111111111,-0.2,0,0,0.113888888888888,0,0.0861111111111111,1,-2.89160629928968,-20.7620472446726,9.64562204751387,-0.2,0,0,9.84562204751387,0,15.3788346460932,1,9,0.0384253939197759
-66.2366950036387,-463.656865025471,-245.046916480167,-6.55519468440445,465.116279069767,1.87131954554701,-1,-6.25,3.75,0,0,0,3.75,0,3.25,0,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,1,-2.03285800708548,-11.7803625442842,7.14821752657054,-0.2,0,0,7.34821752657054,0,6.0817885230278,1,7,0.070274038992993
-59.8513730050942,-598.513730050942,-127.661533184133,20.2631538901323,554.442924477269,4.50179520825956,-1,-7,3,0,0,0,3,0,7,0,-0.1,0.225,-0.175,-0.2,0,0,0.024999999999999,0,0.175,1,-4.60179520825956,-31.2875664578169,13.3303856247787,-0.2,0,0,13.5303856247787,0,31.6875664578169,1,10,0.0217306497734872
-65.2692219735562,-456.884553814893,-221.458455381489,-0.189461098677787,465.116279069766,2.09938616780378,-1,-5.5,3.5,0,0,0,3.5,0,3.5,0,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-2.24938616780378,-11.4466239229208,7.39785158731324,-0.2,0,0,7.59785158731324,0,7.34785158731324,1,7,0.0635093897623738
-62.7296052695896,-501.836842156717,-182.329994282812,10.2380579231941,510.249004938861,2.85464311513513,-1,-5.75,3.25,0,0,0,3.25,0,4.75,0,-0.125,0.20625,-0.0687500000000001,-0.2,0,0,0.131249999999999,0,0.0687500000000001,1,-2.97964311513513,-16.207947912027,9.20884012418916,-0.2,0,0,9.40884012418916,0,13.6283047968918,1,8,0.0419513328173637
-60.7543478331711,-546.78913049854,-143.201533184134,17.1180257436418,540.578165406395,3.89448477784753,-1,-6,3,0,0,0,3,0,6,0,-0.111111111111111,0.258333333333334,-0.141666666666667,-0.2,0,0,0.0583333333333327,0,0.141666666666667,1,-4.00559588895864,-23.1085753337519,11.5417876668759,-0.2,0,0,11.7417876668759,0,23.5085753337519,1,9,0.0277389717263758
-72.3942219735562,-579.153775788449,-326.911527466945,-12.7383066368267,465.116279069768,1.38379327256572,-1,-11.75,4.25,0,0,2,6.25,0,3.75,0,-0.14,-0.72,0.12,-0.2,0,0.28,0.599999999999999,0,0,1,-1.52379327256572,-16.9795709526472,6.00112140840429,-0.2,0,3.04758654513143,9.24870795353572,0,5.18922477212143,1,8,0.0820321248626652
