"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichCat_donor.1","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichAn_donor.1","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","stoichMet_donor.1","C_num","CUE"
-136.605755937306,-1092.84604749845,-2237.68074684178,-10.4552298736712,465.116279069768,0.203184055561901,-1,-5,8,0,0,0,8,0,-3.75,7.5,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,0,1,-0.343184055561901,-1.3159202778095,1.74547244449521,-0.2,0,0,1.94547244449521,0,-0.761940208357129,1.52388041671426,1,8,0.364236035952589
-134.887679434023,-674.438397170116,-1361.33921677611,-14.8257425635815,465.116279069768,0.330770267217125,-1,0,5,0,0,0,5,0,-2.25,4.5,0,-0.233333333333333,0.4,0.166666666666666,-0.2,0,0,0.366666666666666,0,0,0,1,-0.564103600550458,0.4,1.82051800275229,-0.2,0,0,2.02051800275229,0,-0.744233101238531,1.48846620247706,1,5,0.354544803126301
-153.78652097014,-615.146083880561,-1416.53037342089,-51.3125186710445,465.116279069768,0.29212487650328,-1,-2.5,4,2,1,0,4,0,-2.625,5.25,0,-0.25,-0.225,0,0.3,0.25,0,0.199999999999999,0,-0.13125,0.2625,1,-0.54212487650328,-0.955312191258201,1.16849950601312,0.884249753006561,0.54212487650328,0,1.36849950601312,0,-0.898077800821111,1.79615560164222,1,4,0.461148364215467
-149.650410869643,-1346.85369782679,-3025.944590197,-33.3959908932667,465.116279069768,0.142672899422918,-1,-2,9,0,0,0,9,0,-5.5,11,0,-0.111111111111111,0.177777777777778,0,-0.2,0,0,0.199999999999999,0,-0.0861111111111111,0.172222222222222,1,-0.25378401053403,-0.107568021068059,1.28405609480627,-0.2,0,0,1.48405609480627,0,-0.870812057937163,1.74162411587433,1,9,0.437817618522552
-136.196690103191,-953.37683072234,-1945.56690348656,-11.4638097251889,465.116279069767,0.233172382060781,-1,-3,7,0,0,0,7,0,-3.25,6.5,0,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,0,1,-0.394710843599243,-0.784132530797728,1.7629759051947,-0.2,0,0,1.9629759051947,0,-0.757810241697539,1.51562048339508,1,7,0.361928599565378
-157.795366144468,-1577.95366144468,-3714.97843355222,-68.6777686710444,465.116279069767,0.106713542888499,-1,0,10,0,0,0,10,0,-7,14,0,-0.1,0.4,0,-0.2,0,0,0.199999999999999,0,-0.175,0.35,1,-0.206713542888499,0.4,1.06713542888499,-0.2,0,0,1.26713542888499,0,-0.921994800219491,1.84398960043898,1,10,0.483761240810139
-139.469216776112,-976.284517432785,-2044.79690348656,-3.89946083880557,465.116279069767,0.225556297275562,-1,-2,7,0,0,0,7,0,-3.5,7,0,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,0,1,-0.375556297275562,-0.351112594551123,1.62889408092893,-0.2,0,0,1.82889408092893,0,-0.789447040464466,1.57889408092893,1,7,0.380388090663069
-148.059599292529,-1184.47679434023,-2634.60074684178,-26.5050186710445,465.116279069767,0.166481111388322,-1,-1,8,0,0,0,8,0,-4.75,9.5,0,-0.125,0.275,0,-0.2,0,0,0.199999999999999,0,-0.0687500000000001,0.1375,1,-0.291481111388322,0.108518888611678,1.33184889110658,-0.2,0,0,1.53184889110658,0,-0.85953527909453,1.71907055818906,1,8,0.428844254794508
-154.741007916409,-1392.66907124768,-3224.404590197,-55.4471020043779,465.116279069767,0.127052659058633,-1,0,9,0,0,0,9,0,-6,12,0,-0.111111111111111,0.4,0,-0.2,0,0,0.199999999999999,0,-0.141666666666667,0.283333333333333,1,-0.238163770169744,0.4,1.14347393152769,-0.2,0,0,1.34347393152769,0,-0.903982621018462,1.80796524203692,1,9,0.466532382452294
-146.594216776112,-1172.7537342089,-2317.58843355222,-21.6423060131334,465.116279069767,0.191351478388642,-1,-8,8,0,0,2,10,0,-3.75,7.5,0,-0.14,-0.72,0.12,-0.2,0,0.28,0.599999999999999,0,0,0,1,-0.331351478388642,-2.25081182710913,1.65081182710913,-0.2,0,0.662702956777283,2.51351478388641,0,-0.717568043957406,1.43513608791481,1,8,0.377242922252448
