"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","C_num","CUE"
-82.7599906446006,-496.559943867604,-2543.54998960511,-3.62381786052172,465.116279069768,0.181436363781037,-1,-4,6,1,0,0,5,0,-5.5,0,-0.190909090909091,-0.363636363636363,0.145454545454545,-0.00909090909090914,0,0,0.154545454545454,0,0,1,-0.372345454690128,-1.08938181876051,1.23407272814077,0.172345454690128,0,0,1.06172727345064,0,-0.997900000795703,1,6,0.447613001763025
-75.3799904961022,-527.659933472716,-3132.91999168409,12.0249995842044,518.126431374175,0.169219588232574,-1,-6,7,3,0,0,4,0,-7,0,-0.15,-0.499999999999999,0.0499999999999998,0.25,0,0,-0.200000000000001,0,0,1,-0.319219588232574,-1.51531752939544,1.23453711762802,0.757658764697721,0,0,0.476878352930294,0,-1.18453711762802,1,7,0.447519977229786
-85.5699877860064,-684.559902288051,-4406.35998544716,-68.8319998440767,465.116279069768,0.0899346128174945,-1,-2,8,1,0,0,7,0,-10,0,-0.125,0.15,0,-0.075,0,0,0.0749999999999993,0,-0.2,1,-0.214934612817495,-0.0298692256349887,0.719476902539956,0.0149346128174945,0,0,0.704542289722461,0,-1.09934612817495,1,8,0.581572220320513
-89.9355419267022,-809.41987734032,-5461.6699812892,-124.889221806427,465.116279069767,0.0622935948947673,-1,0,9,0,0,0,9,0,-12.5,0,-0.111111111111111,0.4,0,-0.2,0,0,0.199999999999999,0,-0.338888888888889,1,-0.173404706005878,0.4,0.560642354052905,-0.2,0,0,0.760642354052905,0,-1.11755882507348,1,9,0.640761797475926
-87.7066569647711,-526.239941788626,-2573.22998752613,-9.2899992818078,465.116279069767,0.177141678745235,-1,-2,6,0,0,0,6,0,-5.5,0,-0.190909090909091,0.0181818181818186,0.145454545454545,-0.2,0,0,0.345454545454544,0,0,1,-0.368050769654326,-0.336101539308651,1.20830461792596,-0.2,0,0,1.40830461792595,0,-0.974279233098793,1,6,0.452836076998835
-94.0599958420447,-282.179987526134,-468.269991684089,-501.40398419977,501.40398419977,-0.0774931252790665,-1,-5,3,1,0,2,4,0,-0.5,0,-2.1,-10.1,5.3,1.9,0,4.2,7.6,0,0,1,-2.1,-10.1,5.3,1.9,0,4.2,7.6,0,0,1,3,0.158730158730159
-95.9057044848197,-671.339931393738,-2904.4199812892,-26.3104983887924,465.116279069767,0.151082069228225,-1,-8,7,0,0,2,9,0,-6,0,-0.175,-0.999999999999999,0.225,-0.2,0,0.35,0.774999999999999,0,0,1,-0.326082069228225,-2.2086565538258,1.28257448459757,-0.2,0,0.65216413845645,2.13473862305402,0,-0.90649241536935,1,7,0.438101804233698
-87.8049901248562,-702.43992099885,-3493.78998336818,-7.16759933472718,465.116279069768,0.131075045127228,-1,-5,8,0,0,0,8,0,-7.5,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,1,-0.271075045127228,-0.955375225636138,1.16860036101782,-0.2,0,0,1.36860036101782,0,-0.983062838454208,1,8,0.461126917608118
-88.8866548857934,-799.979893972141,-4707.8699812892,-41.1336662508711,465.116279069768,0.0900582672214735,-1,-3,9,0,0,0,9,0,-10.5,0,-0.111111111111111,0.0666666666666669,0,-0.2,0,0,0.199999999999999,0,-0.116666666666667,1,-0.201169378332585,-0.203508134997754,0.810524404993262,-0.2,0,0,1.01052440499326,0,-1.06227847249214,1,9,0.552326164310236
-89.5159871103387,-895.159871103387,-5733.49997921022,-91.3869995842044,465.116279069767,0.0651834448139378,-1,-2,10,0,0,0,10,0,-13,0,-0.1,0.2,0,-0.2,0,0,0.199999999999999,0,-0.25,1,-0.165183444813938,0.0696331103721246,0.651834448139378,-0.2,0,0,0.851834448139377,0,-1.09738478258119,1,10,0.60538754420965
-92.0028470449658,-644.01992931476,-3063.18998336818,-12.8599989765032,465.116279069767,0.147642256128031,-1,-5,7,0,0,1,8,0,-6.5,0,-0.161538461538462,-0.407692307692307,0.130769230769231,-0.2,0,0.161538461538462,0.492307692307691,0,0,1,-0.309180717666493,-1.14590358833246,1.16426502366545,-0.2,0,0.309180717666493,1.67344574133194,0,-0.959674664832203,1,7,0.462050621834833
-89.1488766460206,-802.339889814185,-4896.3199812892,-62.07255513976,465.116279069768,0.0823156422517725,-1,-2,9,0,0,0,9,0,-11,0,-0.111111111111111,0.177777777777778,0,-0.2,0,0,0.199999999999999,0,-0.172222222222222,1,-0.193426753362884,0.013146493274233,0.740840780265953,-0.2,0,0,0.940840780265952,0,-1.07769428699172,1,9,0.574435072601658
