"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_reduced","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_reduced","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_reduced","stoichMet_biom","C_num","CUE"
-49.3699929834505,-296.219957900703,-1037.4000608101,-2.47709066811859,465.116279069768,0.445960248007291,-1,51,6,1,0,0,-39,0,-22,22,0,-0.190909090909091,-0.363636363636363,0.145454545454545,-0.00909090909090914,0,0,0.154545454545454,0,0,0,1,-0.636869338916382,22.3803362847355,2.82121603349829,0.436869338916382,0,0,-17.2379042177389,0,-9.8111254561604,9.8111254561604,1,6,0.261696797886747
-41.4599928720767,-290.219950104537,-1233.54008108013,10.5409996881533,511.584471854049,0.423274022101505,-1,64,7,3,0,0,-52,0,-28,28,0,-0.15,-0.499999999999999,0.0499999999999998,0.25,0,0,-0.200000000000001,0,0,0,1,-0.573274022101505,26.5895374144963,3.01291815471054,1.51982206630452,0,0,-22.2102491492783,0,-11.8516726188421,11.8516726188421,1,7,0.24919521441676
-41.9774908395048,-335.819926716038,-1683.42011382402,-14.8555023778307,465.116279069767,0.267467860811722,-1,98,8,1,0,0,-73,0,-40,40,0,-0.125,2.15,0,-0.075,0,0,-1.525,0,-0.800000000000001,0.800000000000001,1,-0.392467860811722,28.3618503595487,2.13974288649377,0.192467860811722,0,0,-21.0501538392557,0,-11.4987144324689,11.4987144324689,1,8,0.318497417193522
-41.2933231116933,-371.63990800524,-2056.14014189023,-32.8880039154079,465.116279069768,0.210213431637499,-1,125,9,0,0,0,-91,0,-50,50,0,-0.111111111111111,3.78888888888889,0,-0.2,0,0,-2.51111111111111,0,-1.35555555555556,1.35555555555556,1,-0.321324542748611,30.0655678435763,1.8919208847375,-0.2,0,0,-21.6405333901236,0,-11.8662271374305,11.8662271374305,1,9,0.345790925774504
-53.0799927235783,-318.47995634147,-1059.66005925086,-6.72672673408315,465.116279069769,0.432581702343059,-1,53,6,0,0,0,-38,0,-22,22,0,-0.190909090909091,0.0181818181818186,0.145454545454545,-0.2,0,0,0.345454545454544,0,0,0,1,-0.62349079325215,22.945012042364,2.7409447595129,-0.2,0,0,-16.0926501435817,0,-9.5167974515473,9.5167974515473,1,6,0.267312153556153
-79.2199968815336,-237.659990644601,-305.04,-445.011988149827,465.116279069768,0.065907064384802,-1,0,3,1,0,2,0,0,-2,2,0,-2.1,-10.1,5.3,1.9,0,4.2,7.6,0,0,0,1,-2.1659070643848,-10.1,5.4977211931544,1.9659070643848,0,4.3318141287696,7.6,0,-0.131814128769604,0.131814128769604,1,3,0.153900109018765
-60.9257069350434,-426.479948545304,-1235.0400608101,-20.5599987915943,465.116279069765,0.359952923297545,-1,52,7,0,0,2,-39,0,-24,24,0,-0.175,-0.999999999999999,0.225,-0.2,0,0.35,0.774999999999999,0,0,0,1,-0.534952923297545,17.7175520114724,2.74467046308282,-0.2,0,1.06990584659509,-13.2631640086043,0,-8.63887015914109,8.63887015914109,1,7,0.267046195348454
-52.5599925936422,-420.479940749137,-1431.18008108013,-4.79319950104539,465.116279069768,0.321638824948787,-1,70,8,0,0,0,-52,0,-30,30,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,0,1,-0.461638824948787,22.2147177464151,2.6931105995903,-0.2,0,0,-16.4052188973369,0,-9.64916474846362,9.64916474846362,1,8,0.270774452330493
-46.839991164345,-421.559920479105,-1836.54011694249,-8.48800114343775,465.116279069768,0.248635068580225,-1,102,9,0,0,0,-75,0,-42,42,0,-0.111111111111111,1.23333333333333,0,-0.2,0,0,-0.733333333333334,0,-0.466666666666667,0.466666666666667,1,-0.359746179691336,26.5941103285163,2.23771561722202,-0.2,0,0,-19.3809634768502,0,-10.9093395470361,10.9093395470361,1,9,0.308859738848221
-43.511990332754,-435.11990332754,-2187.00014656792,-23.1280028066197,465.116279069768,0.202097963713795,-1,128,10,0,0,0,-94,0,-52,52,0,-0.1,2.7,0,-0.2,0,0,-1.8,0,-1,1,1,-0.302097963713795,28.5685393553658,2.02097963713795,-0.2,0,0,-20.7972085890967,0,-11.5090941131173,11.5090941131173,1,10,0.33101845100399
-55.9628495694386,-391.73994698607,-1267.68006860626,-9.20707615545433,465.116279069767,0.359640586142179,-1,60,7,0,0,1,-44,0,-26,26,0,-0.161538461538462,-0.407692307692307,0.130769230769231,-0.2,0,0.161538461538462,0.492307692307691,0,0,0,1,-0.52117904768064,21.1707428608384,2.64825333376448,-0.2,0,0.52117904768064,-15.3318780979482,0,-9.35065523969664,9.35065523969664,1,7,0.274103772000982
