"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","C_num","CUE"
-64.7807611347505,-388.684566808503,-2523.5730679275,-3.00634937230465,465.116279069767,0.183117317097132,-1,-4,6,1,0,0,5,0,-5.5,0,-0.190909090909091,-0.363636363636363,0.145454545454545,-0.00909090909090914,0,0,0.154545454545454,0,0,1,-0.374026408006223,-1.09610563202489,1.24415844803734,0.174026408006223,0,0,1.07013204003111,0,-1.00714524403423,1,6,0.445601334823111
-57.1153763908577,-399.807634736004,-3116.938454342,11.2259227171,514.603837786415,0.168700719698529,-1,-6,7,3,0,0,4,0,-7,0,-0.15,-0.499999999999999,0.0499999999999998,0.25,0,0,-0.200000000000001,0,0,1,-0.318700719698529,-1.51220431819117,1.2309050378897,0.756102159095586,0,0,0.474802878794114,0,-1.1809050378897,1,7,0.448248573119875
-62.0971048148132,-496.776838518506,-4378.3922950985,-68.5323460189126,465.116279069767,0.0905775239680603,-1,-2,8,1,0,0,7,0,-10,0,-0.125,0.15,0,-0.075,0,0,0.0749999999999993,0,-0.2,1,-0.21557752396806,-0.0311550479361202,0.724620191744482,0.0155775239680603,0,0,0.709042667776421,0,-1.1057752396806,1,8,0.579837812862717
-63.7435779493897,-573.692201544507,-5425.7115222695,-124.090144939322,465.116279069767,0.0628537165550959,-1,0,9,0,0,0,9,0,-12.5,0,-0.111111111111111,0.4,0,-0.2,0,0,0.199999999999999,0,-0.338888888888889,1,-0.173964827666207,0.4,0.565683448995863,-0.2,0,0,0.765683448995862,0,-1.12456034582759,1,9,0.638698710547998
-69.0615300656673,-414.369180394004,-2549.257681513,-7.90977560226376,465.116279069767,0.179348877433273,-1,-2,6,0,0,0,6,0,-5.5,0,-0.190909090909091,0.0181818181818186,0.145454545454545,-0.2,0,0,0.345454545454544,0,0,1,-0.370257968342363,-0.340515936684726,1.22154781005418,-0.2,0,0,1.42154781005418,0,-0.986418825882999,1,6,0.450136609923156
-86.0692271710003,-258.207681513001,-452.288454342,-471.039063249801,471.039063249801,-0.0130951478490647,-1,-5,3,1,0,2,4,0,-0.5,0,-2.1,-10.1,5.3,1.9,0,4.2,7.6,0,0,1,-2.1,-10.1,5.3,1.9,0,4.2,7.6,0,0,1,3,0.158730158730159
-77.0703211887863,-539.492248321504,-2868.4615222695,-23.2140755287627,465.116279069768,0.154055475421325,-1,-8,7,0,0,2,9,0,-6,0,-0.175,-0.999999999999999,0.225,-0.2,0,0.35,0.774999999999999,0,0,1,-0.329055475421325,-2.2324438033706,1.30338832794927,-0.2,0,0.658110950842649,2.16149927879192,0,-0.924332852527948,1,7,0.434143035225983
-68.8269145311256,-550.615316249005,-3461.826908684,-5.88907634736006,465.116279069767,0.132654582345072,-1,-5,8,0,0,0,8,0,-7.5,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,1,-0.272654582345072,-0.963272911725359,1.18123665876057,-0.2,0,0,1.38123665876057,0,-0.994909367588039,1,8,0.458455526127193
-66.2461436511674,-596.215292860506,-4671.9115222695,-40.3345893837667,465.116279069768,0.0909224602523406,-1,-3,9,0,0,0,9,0,-10.5,0,-0.111111111111111,0.0666666666666669,0,-0.2,0,0,0.199999999999999,0,-0.116666666666667,1,-0.202033571363452,-0.206100714090355,0.818302142271066,-0.2,0,0,1.01830214227106,0,-1.07135249931624,1,9,0.549963604371602
-64.7446042301008,-647.446042301008,-5693.546135855,-90.5879227171,465.116279069767,0.0657812104119227,-1,-2,10,0,0,0,10,0,-13,0,-0.1,0.2,0,-0.2,0,0,0.199999999999999,0,-0.25,1,-0.165781210411923,0.0684375791761547,0.657812104119227,-0.2,0,0,0.857812104119227,0,-1.105155735355,1,10,0.603204668077439
-72.5966945581435,-508.176861907004,-3031.226908684,-10.8930405344,465.116279069767,0.14984798308371,-1,-5,7,0,0,1,8,0,-6.5,0,-0.161538461538462,-0.407692307692307,0.130769230769231,-0.2,0,0.161538461538462,0.492307692307691,0,0,1,-0.311386444622172,-1.15693222311086,1.1797051123552,-0.2,0,0.311386444622172,1.69109155697737,0,-0.974011890044117,1,7,0.458777654982644
-65.620502225723,-590.584520031507,-4860.3615222695,-61.2734782726556,465.116279069768,0.0830890457318371,-1,-2,9,0,0,0,9,0,-11,0,-0.111111111111111,0.177777777777778,0,-0.2,0,0,0.199999999999999,0,-0.172222222222222,1,-0.194200156842948,0.0115996863141038,0.747801411586534,-0.2,0,0,0.947801411586533,0,-1.08620172527243,1,9,0.572147380915701
-75.2192232729172,-451.315339637503,-2198.0422950985,-34.1098446545835,465.116279069767,0.196086506331703,-1,-5,6,0,0,1,7,0,-4.5,0,-0.233333333333333,-0.766666666666666,0.4,-0.2,0,0.233333333333333,0.833333333333332,0,0,1,-0.429419839665037,-1.74709919832518,1.57651903799022,-0.2,0,0.429419839665037,2.20593887765525,0,-0.882389278492665,1,6,0.388120555390903
-68.6169180394004,-343.084590197002,-1313.488454342,-72.8984599552401,465.116279069767,0.29860774018833,-1,-7,5,2,0,1,4,0,-2.5,0,-0.42,-2.54,1.1,0.64,0,0.42,0.879999999999999,0,0,1,-0.71860774018833,-4.63025418131831,2.59303870094165,1.23721548037666,0,0.71860774018833,2.07443096075332,0,-0.746519350470825,1,5,0.278315955722359
-68.9274640459291,-482.492248321504,-3005.5422950985,-6.74398757058846,465.116279069768,0.15250901384642,-1,-3,7,0,0,0,7,0,-6.5,0,-0.161538461538462,-0.0846153846153843,0.130769230769231,-0.2,0,0,0.33076923076923,0,0,1,-0.314047475384882,-0.542142426154645,1.19833232769417,-0.2,0,0,1.39833232769417,0,-0.991308590001732,1,7,0.454890276325463
-64.9948608002785,-584.953747202507,-5048.8115222695,-82.2123671615445,465.116279069768,0.0758404052556319,-1,-1,9,0,0,0,9,0,-11.5,0,-0.111111111111111,0.288888888888889,0,-0.2,0,0,0.199999999999999,0,-0.227777777777778,1,-0.186951516366743,0.213048483633257,0.682563647300688,-0.2,0,0,0.882563647300687,0,-1.09994243821755,1,9,0.5943311574598
-63.6184496643008,-636.184496643008,-6070.446135855,-128.2779227171,465.116279069767,0.05548823740699,-1,0,10,0,0,0,10,0,-14,0,-0.1,0.4,0,-0.2,0,0,0.199999999999999,0,-0.35,1,-0.15548823740699,0.4,0.5548823740699,-0.2,0,0,0.754882374069899,0,-1.12683532369786,1,10,0.643135465856818
-68.1230679275006,-476.861475492504,-3193.9922950985,-0.332153396375009,465.116279069767,0.145518236342226,-1,-2,7,0,0,0,7,0,-7,0,-0.15,0.100000000000001,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-0.295518236342226,-0.191036472684451,1.06862765439558,-0.2,0,0,1.26862765439558,0,-1.01862765439558,1,7,0.483412274739305
