"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","C_num","CUE"
-75.1615339637503,-300.646135855001,-252.10153396375,-124.985997401278,465.116279069768,1.34917973849932,-1,-7,4,2,0,1.75,2.25,0,-0.75,0,-0.7,-4.5,1.8,1.2,0,0.7,1.3,0,0,1,-2.04917973849932,-13.9442581694952,7.19671895399727,3.89835947699863,0,3.06106454237381,4.33565441162346,0,-1.01188480387449,1,4,0.122000035088715
-72.8666580042599,-437.199948025559,-259.203074424305,2.00085307416156,473.936697353971,1.83615704206132,-1,-4,6,2,0,2.75,1.25,0,-2.75,0,-0.190909090909091,-0.363636363636363,0.145454545454545,0.181818181818182,0,0,-0.0363636363636373,0,0,1,-2.02706613297041,-7.70826453188163,11.1623967978224,3.85413226594081,0,5.04943186566862,2.25883266621301,0,-5.04943186566862,1,6,0.0822206359998911
-82.45212364747,-742.06911282723,-337.530763733473,13.9816581807391,526.75202586869,1.60202785093809,-1,0,9,0,0,6.25,2.75,0,-6.25,0,-0.111111111111111,0.4,0,-0.2,0,0.169444444444445,0.0305555555555548,0,-0.169444444444445,1,-1.7131389620492,0.4,14.4182506584428,-0.2,0,10.1821185128075,4.4361321456353,0,-10.1821185128075,1,9,0.0648582009822505
-78.3373517855563,-548.361462498894,-289.456919078889,10.134087933506,509.790671036239,1.79620774180922,-1,-2,7,1,0,4,2,0,-4,0,-0.142857142857143,0.114285714285715,0,-0.0571428571428572,0,0.0464285714285715,0.0107142857142846,0,-0.0464285714285715,1,-1.93906488466637,-3.47812976933273,12.5734541926646,1.73906488466637,0,7.23125953866546,3.60312976933273,0,-7.23125953866546,1,7,0.0736732143348173
-77.6358877739822,-465.815326643893,-271.636919078889,3.94861553454157,482.523074755029,1.79088944146171,-1,-2,6,1,0,3,2,0,-3,0,-0.175,0.0500000000000007,0.0499999999999998,-0.025,0,0,0.0749999999999988,0,0,1,-1.96588944146171,-3.53177888292342,10.7953366487703,1.76588944146171,0,5.37266832438513,3.65677888292342,0,-5.37266832438513,1,6,0.0847792674153354
-82.3922976972229,-741.530679275006,-450.2630679275,-1.04561488486115,465.116279069768,1.03066562025831,-1,-6,9,0,0,4.5,4.5,0,-4.5,0,-0.116666666666667,-0.299999999999999,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-1.14733228692498,-6.48399372154985,9.32599058232478,-0.2,0,4.63799529116239,4.88799529116239,0,-4.63799529116239,1,9,0.0968430091067215
-78.8153753699312,-630.52300295945,-387.799993503195,-2.80692271710002,465.116279069767,1.19213348142787,-1,-6,8,1,0,3.75,3.25,0,-3.75,0,-0.14,-0.44,0.12,-0.06,0,0,0.179999999999999,0,0,1,-1.33213348142787,-7.5928008885672,9.65706785142293,1.13213348142787,0,4.4705005553545,4.05443381464057,0,-4.4705005553545,1,8,0.0938344405742411
-79.2384508770378,-713.14605789334,-389.515378618333,8.20558986019901,501.289217388039,1.3080223149481,-1,-5,9,1,0,5,3,0,-5,0,-0.111111111111111,-0.155555555555555,0,-0.0888888888888889,0,0.0305555555555557,0.058333333333332,0,-0.0305555555555557,1,-1.41913342605921,-6.69566713029604,11.7722008345329,1.21913342605921,0,6.57066713029604,3.98240027817762,0,-6.57066713029604,1,9,0.0782950419395416
-82.3826828123618,-659.061462498894,-416.338453042639,-6.80230705262229,465.116279069768,1.10082066325545,-1,-5,8,0,0,3.75,4.25,0,-3.75,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,1,-1.24082066325545,-5.80410331627724,8.92656530604358,-0.2,0,4.12807748720793,4.99848781883565,0,-4.12807748720793,1,8,0.100739779487591
-82.417937390186,-741.761436511674,-401.949223272917,6.82405156524536,495.198942297629,1.24897117545121,-1,-3,9,0,0,5.25,3.75,0,-5.25,0,-0.111111111111111,0.0666666666666669,0,-0.2,0,0.0583333333333333,0.141666666666666,0,-0.0583333333333333,1,-1.36008228656232,-3.68024685968695,11.2407405790609,-0.2,0,6.61543200445216,4.82530857460869,0,-6.61543200445216,1,9,0.0816944034996225
