"delGcox","delGd","delGcat","delGan","delGdis","lambda","stoichCat_donor","stoichCat_h2o","stoichCat_hco3","stoichCat_nh4","stoichCat_hpo4","stoichCat_hs","stoichCat_h","stoichCat_e","stoichCat_acceptor","stoichCat_biom","stoichAn_donor","stoichAn_h2o","stoichAn_hco3","stoichAn_nh4","stoichAn_hpo4","stoichAn_hs","stoichAn_h","stoichAn_e","stoichAn_acceptor","stoichAn_biom","stoichMet_donor","stoichMet_h2o","stoichMet_hco3","stoichMet_nh4","stoichMet_hpo4","stoichMet_hs","stoichMet_h","stoichMet_e","stoichMet_acceptor","stoichMet_biom","C_num","CUE"
-91.8565327943254,-367.426131177302,-888.025377059101,-134.63199672561,465.116279069767,0.372156349223523,-1,-7,4,2,0,1,3,0,-1.5,0,-0.7,-4.5,1.8,1.2,0,0.7,1.3,0,0,1,-1.07215634922352,-7.10509444456466,3.28862539689409,1.94431269844705,0,1.07215634922352,2.41646904767057,0,-0.558234523835284,1,4,0.233174947087759
-105.019989085367,-630.119934512205,-2538.9838360788,2.27067123707995,475.126144539448,0.188026725098738,-1,-4,6,2,0,0,4,0,-5.5,0,-0.190909090909091,-0.363636363636363,0.145454545454545,0.181818181818182,0,0,-0.0363636363636373,0,0,1,-0.378935816007829,-1.11574326403131,1.27361489604697,0.557871632015657,0,0,0.715743264031314,0,-1.03414698804306,1,6,0.439828223213462
-131.094342462479,-1179.84908216231,-5518.1761311773,-126.144914026162,465.116279069768,0.061428152524607,-1,0,9,0,0,0,9,0,-12.5,0,-0.111111111111111,0.4,0,-0.2,0,0,0.199999999999999,0,-0.338888888888889,1,-0.172539263635718,0.4,0.552853372721463,-0.2,0,0,0.752853372721462,0,-1.10674079544648,1,9,0.643975804520065
-118.617348964087,-830.321442748607,-3606.8507541182,-28.2786262296971,465.116279069767,0.121113315360027,-1,-2,7,1,0,0,6,0,-8,0,-0.142857142857143,0.114285714285715,0,-0.0571428571428572,0,0,0.0571428571428561,0,-0.092857142857143,1,-0.26397045821717,-0.12794091643434,0.847793207520192,0.0639704582171702,0,0,0.783822749303021,0,-1.06176366573736,1,7,0.541186100224948
-113.499218595218,-680.995311571305,-2763.3922950985,3.39211557352241,480.069839934982,0.174952342584885,-1,-2,6,1,0,0,5,0,-6,0,-0.175,0.0500000000000007,0.0499999999999998,-0.025,0,0,0.0749999999999988,0,0,1,-0.349952342584885,-0.299904685169769,1.09971405550931,0.149952342584885,0,0,0.949761712924423,0,-1.04971405550931,1,6,0.476255325041123
-119.492295098501,-1075.43065588651,-4199.0261311773,-2.90061475492504,465.116279069767,0.110076872559316,-1,-6,9,0,0,0,9,0,-9,0,-0.116666666666667,-0.299999999999999,0.0499999999999998,-0.2,0,0,0.249999999999999,0,0,1,-0.226743539225983,-0.960461235355897,1.04069185303385,-0.2,0,0,1.24069185303384,0,-0.990691853033846,1,9,0.490029887909497
-113.132872966113,-905.062983728906,-3508.0592131379,-4.14252262354602,465.116279069767,0.131404211969925,-1,-6,8,1,0,0,7,0,-7.5,0,-0.14,-0.44,0.12,-0.06,0,0,0.179999999999999,0,0,1,-0.271404211969925,-1.22842527181955,1.1712336957594,0.0714042119699251,0,0,1.09982948378947,0,-0.985531589774438,1,8,0.460567649605422
-118.811781438401,-1069.30603294561,-4539.9676721576,-17.4550852461957,465.116279069768,0.0986044893158507,-1,-5,9,1,0,0,8,0,-10,0,-0.111111111111111,-0.155555555555555,0,-0.0888888888888889,0,0,0.0888888888888877,0,-0.0611111111111113,1,-0.209715600426962,-0.648578002134808,0.887440403842656,0.00971560042696179,0,0,0.877724803415693,0,-1.04715600426962,1,9,0.529818053043737
-117.627680343576,-941.021442748607,-3544.0176721576,-9.17670688630407,465.116279069767,0.128650479303588,-1,-5,8,0,0,0,8,0,-7.5,0,-0.14,-0.3,0.12,-0.2,0,0,0.319999999999999,0,0,1,-0.268650479303588,-0.943252396517942,1.14920383442871,-0.2,0,0,1.34920383442871,0,-0.964878594776914,1,8,0.465288579882799
-124.464601111634,-1120.18141000471,-4764.3761311773,-42.3893584706067,465.116279069768,0.0887266053225531,-1,-3,9,0,0,0,9,0,-10.5,0,-0.111111111111111,0.0666666666666669,0,-0.2,0,0,0.199999999999999,0,-0.116666666666667,1,-0.199837716433664,-0.199513149300992,0.798539447902978,-0.2,0,0,0.998539447902977,0,-1.04829602255347,1,9,0.556006709314026
